grant_number,fqhc_name,state,type,operator_type,site_count,contact_count,exec_count,bh_titled_count,on_natcon,on_nachc,score,reasons
H80CS24172,"CHRIST COMMUNITY HEALTH SERVICES AUGUSTA, INC",GA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",5,1,1,0,False,True,7,GA adj; 5 sites sweet; real FQHC; 501c3; 1 exec
H80CS00881,CHRIST COMMUNITY HEALTH SERVICES INC,TN,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",15,2,1,0,False,True,7,TN adj; 15 sites ok; real FQHC; 501c3; 2 contacts; 1 exec
H80CS00833,"DELAWARE VALLEY COMMUNITY HEALTH, INC.",PA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",11,2,2,0,False,True,7,PA adj; 11 sites ok; real FQHC; 501c3; 2 contacts; 2 exec
H80CS00758,EL CENTRO DEL BARRIO,TX,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",26,2,2,0,False,True,7,TX core; 26 sites; real FQHC; 501c3; 2 contacts; 2 exec
H80CS00529,FAMILY FIRST HEALTH CORPORATION,PA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",10,1,1,0,False,True,7,PA adj; 10 sites sweet; real FQHC; 501c3; 1 exec
H80CS00484,"G.A. CARMICHAEL FAMILY HEALTH CENTER, INC",MS,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",17,5,4,0,False,True,7,MS other; 17 sites ok; real FQHC; 501c3; 5 contacts; 4 exec
H80CS08744,GREAT SALT PLAINS HEALTH CENTER,OK,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",11,2,1,0,False,True,7,OK adj; 11 sites ok; real FQHC; 501c3; 2 contacts; 1 exec
H80CS00659,HAMILTON HEALTH CENTER INC,PA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",6,1,1,0,False,True,7,PA adj; 6 sites sweet; real FQHC; 501c3; 1 exec
H80CS26561,HCC NETWORK,MO,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",10,2,2,0,False,True,7,MO other; 10 sites sweet; real FQHC; 501c3; 2 contacts; 2 exec
H80CS26566,"Jane Pauley Community Health Center, Inc.",IN,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",22,5,5,2,True,True,7,IN other; 22 sites; real FQHC; 501c3; 5 contacts; 5 exec; 2 BH titles
H80CS00152,MASSACHUSETTS LEAGUE OF COMMUNITY HEALTH CENTERS INC,MA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",6,2,2,0,False,True,7,MA other; 6 sites sweet; real FQHC; 501c3; 2 contacts; 2 exec
H80CS00635,NORTH MS PRIMARY HEALTH CARE INC,MS,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",19,4,1,0,False,True,7,MS other; 19 sites ok; real FQHC; 501c3; 4 contacts; 1 exec
H80CS00086,PIEDMONT HEALTH SERVICES INC,NC,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",18,1,1,0,False,True,7,NC core; 18 sites ok; real FQHC; 501c3; 1 exec
H80CS00107,ROBESON HEALTH CARE CORPORATION,NC,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",12,1,1,0,False,True,7,NC core; 12 sites ok; real FQHC; 501c3; 1 exec
H80CS00794,RURAL HEALTH MEDICAL PROGRAM INC,AL,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",11,4,2,0,False,True,7,AL other; 11 sites ok; real FQHC; 501c3; 4 contacts; 2 exec
H80CS24144,SHORTGRASS COMMUNITY HEALTH CENTER INC,OK,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",4,1,1,0,False,True,7,OK adj; 4 sites sweet; real FQHC; 501c3; 1 exec
H80CS00558,SWLA CENTER FOR HEALTH SERVICES,LA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",6,2,0,0,False,True,7,LA adj; 6 sites sweet; real FQHC; 501c3; 2 contacts
H80CS00850,WATTS HEALTHCARE CORP,CA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",3,3,0,0,False,True,7,CA other; 3 sites sweet; real FQHC; 501c3; 3 contacts
H80CS00399,COMMUNITY ACTION COMMITTEE OF PIKE COUNTY,OH,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",12,3,3,0,False,True,7,OH other; 12 sites ok; real FQHC; 501c3; 3 contacts; 3 exec
H80CS00372,FREDERIKSTED HEALTH CARE INC,VI,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",5,2,2,0,False,True,7,VI other; 5 sites sweet; real FQHC; 501c3; 2 contacts; 2 exec
H80CS06454,"PRIMARY CARE OF SOUTHWEST GEORGIA, INC.",GA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",9,1,1,0,False,True,7,GA adj; 9 sites sweet; real FQHC; 501c3; 1 exec
H80CS00205,PRESBYTERIAN MEDICAL SERVICES,NM,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",76,2,1,2,True,False,7,NM adj; 76 sites; real FQHC; 501c3; 2 contacts; 1 exec; 2 BH titles
H80CS00437,INTERNATIONAL COMMUNITY HEALTH SERVICES,WA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",12,2,2,1,True,False,7,WA other; 12 sites ok; real FQHC; 501c3; 2 contacts; 2 exec; 1 BH titles
LALCS45788,"Mountain Area Health Education Center, INC.",NC,Federally Qualified Health Center (FQHC) Look-Alike,NA,61,3,2,1,True,False,7,NC core; 61 sites; 3 contacts; 2 exec; 1 BH titles
H80CS28956,"VALLE DEL SOL, INC",AZ,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",36,2,2,0,True,False,7,AZ core; 36 sites; real FQHC; 501c3; 2 contacts; 2 exec
H80CS00533,CENTRAL COUNTIES HEALTH CENTERS,IL,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",5,1,1,1,True,False,7,IL other; 5 sites sweet; real FQHC; 501c3; 1 exec; 1 BH titles
LALCS49935,LIBERTY RESOURCES INC,NY,Federally Qualified Health Center (FQHC) Look-Alike,NA,3,6,6,1,True,False,7,NY other; 3 sites sweet; 6 contacts; 6 exec; 1 BH titles
H80CS00016,PUBLIC HEALTH MANAGEMENT CORP,PA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",15,1,1,1,True,False,7,PA adj; 15 sites ok; real FQHC; 501c3; 1 exec; 1 BH titles
H80CS00316,LA CLINICA DE FAMILIA INC,NM,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",28,2,1,1,True,False,7,NM adj; 28 sites; real FQHC; 501c3; 2 contacts; 1 exec; 1 BH titles
H80CS00313,"SUN RIVER HEALTH, INC.",NY,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",85,3,3,1,True,False,7,NY other; 85 sites; real FQHC; 501c3; 3 contacts; 3 exec; 1 BH titles
H80CS28355,"UNION COMMUNITY HEALTH CENTER, INC.",NY,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",7,1,1,1,True,False,7,NY other; 7 sites sweet; real FQHC; 501c3; 1 exec; 1 BH titles
H80CS00537,"1ST CHOICE HEALTHCARE, INC.",AR,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",9,1,1,0,False,True,6,AR other; 9 sites sweet; real FQHC; 501c3; 1 exec
H80CS00140,ADELANTE HEALTHCARE INC,AZ,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",15,1,0,0,False,True,6,AZ core; 15 sites ok; real FQHC; 501c3
H80CS00172,CAMCARE HEALTH CORPORATION,NJ,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",9,1,1,0,False,True,6,NJ other; 9 sites sweet; real FQHC; 501c3; 1 exec
H80CS00540,CLINICA SIERRA VISTA,CA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",39,3,2,0,False,True,6,CA other; 39 sites; real FQHC; 501c3; 3 contacts; 2 exec
H80CS28962,"HIV/AIDS ALLIANCE FOR REGION TWO (HAART), INC.",LA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",18,1,1,0,False,True,6,LA adj; 18 sites ok; real FQHC; 501c3; 1 exec
H80CS00148,"NORTHWEST HUMAN SERVICES, INC.",OR,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",8,1,1,0,False,True,6,OR other; 8 sites sweet; real FQHC; 501c3; 1 exec
H80CS00677,PENINSULA COMMUNITY HEALTH SERVICES,WA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",42,4,4,0,False,True,6,WA other; 42 sites; real FQHC; 501c3; 4 contacts; 4 exec
H80CS00057,"THE PROVIDENCE COMMUNITY HEALTH CENTERS, INC.",RI,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",14,2,2,0,False,True,6,RI other; 14 sites ok; real FQHC; 501c3; 2 contacts; 2 exec
H80CS00514,CHICAGO FAMILY HEALTH CENTER INC,IL,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",7,1,1,0,False,True,6,IL other; 7 sites sweet; real FQHC; 501c3; 1 exec
H80CS00336,FAMILY HEALTH CENTER INC,MI,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",7,1,1,0,False,True,6,MI other; 7 sites sweet; real FQHC; 501c3; 1 exec
H80CS29009,HARVARD STREET NEIGHBORHOOD HEALTH CENTER INC,MA,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",3,1,1,0,False,True,6,MA other; 3 sites sweet; real FQHC; 501c3; 1 exec
H80CS00727,JEFFERSON COMPREHENSIVE CARE SYSTEM INC,AR,Federally Qualified Health Center (FQHC),"Corporate Entity, Federal Tax Exempt",9,1,1,0,False,True,6,AR other; 9 sites sweet; real FQHC; 501c3; 1 exec
